GCA_000011605.1	SCRI1043	atrosepticum SCRI1043
GCA_000023605.1	PC1		carotovorum subsp. carotovorum PC1
GCA_000024645.1	WPP163		parmentieri WPP163
GCA_000173135.1	PBR1692		brasiliense PBR1692
GCA_000173155.1	WPP14		carotovorum subsp. carotovorum WPP14
GCA_000260925.1	SCC3193		parmentieri
GCA_000291725.1	CFBP 3304	wasabiae CFBP 3304
GCA_000294535.1	PCC21		carotovorum subsp. carotovorum PCC21
GCA_000389755.1	CFBP 6276	atrosepticum CFBP 6276
GCA_000632375.1	CFIA1002	parmentieri CFIA1002
GCA_000696465.1	JG10-08		atrosepticum
GCA_000738105.1	CFIA1009	brasiliense
GCA_000738115.1	CFIA1001	brasiliense
GCA_000738125.1	CFIA1033	brasiliense
GCA_000740965.1	21A		atrosepticum
GCA_000749845.1	NCPPB 2795	betavasculorum
GCA_000749855.1	NCPPB 312	carotovorum subsp. carotovorum
GCA_000749865.1	NCPPB 3701	wasabiae
GCA_000749905.1	NCPPB 549	atrosepticum
GCA_000749915.1	NCPPB 3395	parvum
GCA_000749925.1	NCPPB 2793	betavasculorum
GCA_000749965.1	NCPPB 3404	atrosepticum
GCA_000754685.1	NCPPB3702	wasabiae
GCA_000754695.1	LMG 21371	brasiliense
GCA_000754705.1	LMG 21372	brasiliense
GCA_000754715.1	NCPPB3841	odoriferum
GCA_000754765.1	NCPPB 3839	odoriferum
GCA_000757625.1	RNS 08-42-1A	parmentieri
GCA_000769535.1	BC S7		odoriferum
GCA_000803215.1	M022		fontis
GCA_000803315.1	KKH3		actinidiae
GCA_000808115.1	Y49		brasiliense
GCA_000808145.1	Y62		brasiliense
GCA_000808195.1	Y64		brasiliense
GCA_000808215.1	Y57		carotovorum subsp. carotovorum
GCA_000808235.1	Y21		brasiliense
GCA_000808245.1	Y29		brasiliense
GCA_000808255.1	YC Y46		brasiliense
GCA_000808295.1	Y31		brasiliense
GCA_000808315.1	Y3		brasiliense
GCA_000808335.1	Y65		brasiliense
GCA_000808355.1	B6		brasiliense
GCA_000808375.1	S2		brasiliense
GCA_000808385.1	Y52		brasiliense
GCA_000808415.1	Y1		parvum
GCA_000808435.1	Y16		carotovorum subsp. carotovorum
GCA_000808455.1	Y60		brasiliense
GCA_000808475.1	Y39		carotovorum subsp. carotovorum
GCA_000808495.1	B2		carotovorum subsp. carotovorum
GCA_000808515.1	B5		carotovorum subsp. carotovorum
GCA_001038675.1	ICMP 19477	brasiliense ICMP 19477
GCA_001038685.1	ICMP 1526	atrosepticum ICMP 1526
GCA_001039055.1	ICMP 5702	carotovorum subsp. carotovorum ICMP 5702
GCA_001039065.1	UGC32		peruviense
GCA_001238575.1	BD255		brasiliense
GCA_001429565.2	PcbHPI01	brasiliense
GCA_001742145.1	RNS 08-42-1A	parmentieri
GCA_001742185.1	CFBP 3304	wasabiae CFBP 3304
GCA_001932635.1	BC1  brasiliense
GCA_001984525.1	ICMP 19972	actinidiae
GCA_001984535.1	ICMP 19971	actinidiae
GCA_002068115.1	SX309		brasiliense
GCA_002250215.2	BF20		brasiliense
GCA_002250255.2	BF45		brasiliense
GCA_002288545.1	NIBIO1392	polaris
GCA_002307355.1	NIBIO1006	polaris
GCA_002764035.1	BZA12		brasiliense
GCA_002804265.1	36A		atrosepticum
GCA_002847345.1	IFB5232		peruviense
GCA_002847355.1	IFB5229		peruviense
GCA_002869945.1	F164		carotovorum
GCA_002904005.1	Q3		odoriferum
GCA_002904025.1	Q40		odoriferum
GCA_002904045.1	Q32		odoriferum
GCA_002904055.1	Q47		odoriferum
GCA_002904085.1	Q106		odoriferum
GCA_002904105.1	Q115		odoriferum
GCA_002904125.1	S6-2		odoriferum
GCA_002904145.1	T4		odoriferum
GCA_002904185.1	Q142		odoriferum
GCA_002904195.1	Q166		odoriferum
GCA_002904225.1	S6		odoriferum
GCA_002904255.1	T5		odoriferum
GCA_002920025.1	PB72		atrosepticum
GCA_002920045.2	PB20		parmentieri
GCA_002921205.1	F018		versatile
GCA_002921235.2	F131		versatile
GCA_002921275.1	F135		versatile
GCA_002921285.1	PB69		versatile
GCA_002921295.1	PB70		versatile
GCA_002930535.1	F157		brasiliense
GCA_002930555.1	F152		brasiliense
GCA_002983505.1	Ecc71		versatile
GCA_003028395.1	SS95		punjabense
GCA_003031305.1	45691		versatile
GCA_003096475.1	WS2152		versatile
GCA_003121725.1	SS26		atrosepticum
GCA_003121735.1	SS28		polaris
GCA_003121765.1	SS96		versatile
GCA_003121785.1	SS90		parmentieri
GCA_003186045.1	ATCC 39048	carotovorum subsp. carotovorum
GCA_003312345.1	A97-S13-F16	peruviense
GCA_003312355.2	A350-S18-N16	peruviense
GCA_003382565.3	A212-S19-A16	aquaticum
GCA_003382585.2	A105-S21-F16	aquaticum
GCA_003382595.2	A104-S21-F16	aquaticum
GCA_003382625.3	A101-S19-F16	aquaticum
GCA_003382645.2	A35-S23-M15	aquaticum
GCA_003382655.2	A127-S21-F16	aquaticum
GCA_003402555.1	RMIT1		versatile
GCA_003571485.1	SCC1		versatile
GCA_003594975.1	S4.16.03.1C	carotovorum
GCA_003594995.1	S4.16.03.3F	versatile
GCA_003595035.1	S4.16.03.2B	polaris
GCA_003595055.1	S1.15.11.2D	carotovorum
GCA_003595065.1	S4.16.03.3I	versatile
GCA_003595115.1	S1.16.01.3K	carotovorum
GCA_003595125.1	S1-A16		carotovorum
GCA_003595135.1	S4.16.03.3K	versatile
GCA_003628015.1	IFB5626		parmentieri
GCA_003628025.1	IFB5597		parmentieri
GCA_003628575.1	IFB5408		parmentieri
GCA_003628595.1	IFB5485		parmentieri
GCA_003628615.1	IFB5623		parmentieri
GCA_003628635.1	IFB5432		parmentieri
GCA_003628655.1	IFB5441		parmentieri
GCA_003628675.1	IFB5486		parmentieri
